;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
42;Anéis;Prata Artesanal;12; R$ 96,00 ; R$ 288,00 ;Ametista B;10; R$ 56,00 ; R$ 190,40 ; R$ 250,00 ; R$ 402,00 ;-45,00%; R$ 728,40 ; R$ 1.056,18 ;;;;;;;;;;;;;;;;;;;;;;;
43;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Ametista B;35; R$ 196,00 ; R$ 666,40 ; R$ 90,00 ; R$ 350,00 ;10,00%; R$ 948,40 ; R$ 853,56 ;;;;;;;;;;;;;;;;;;;;;;;
44;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Ametista B;7; R$ 39,20 ; R$ 133,28 ; R$ 90,00 ; R$ 185,20 ;-85,00%; R$ 391,28 ; R$ 723,87 ;;;;;;;;;;;;;;;;;;;;;;;
45;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Turquesa;10; R$ 112,00 ; R$ 224,00 ; R$ 60,00 ; R$ 204,00 ;14,00%; R$ 380,00 ; R$ 326,80 ;;;;;;;;;;;;;;;;;;;;;;;
46;Pingente;Prata Artesanal;2,5; R$ 20,00 ; R$ 60,00 ;Ametista A;10; R$ 140,00 ; R$ 448,00 ; R$ 100,00 ; R$ 260,00 ;-50,00%; R$ 608,00 ; R$ 912,00 ;;;;;;;;;;;;;;;;;;;;;;;
47;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Aqua Marinha D;7; R$ 392,00 ; R$ 784,00 ;; R$ 456,00 ;-30,00%; R$ 976,00 ; R$ 1.268,80 ;;;;;;;;;;;;;;;;;;;;;;;
48;Anéis;Prata Artesanal;10; R$ 80,00 ; R$ 240,00 ;Ametista B;7; R$ 39,20 ; R$ 133,28 ; R$ 90,00 ; R$ 209,20 ;-55,00%; R$ 463,28 ; R$ 718,08 ;;;;;;;;;;;;;;;;;;;;;;;
49;Anéis;Prata Artesanal;10; R$ 80,00 ; R$ 240,00 ;Aqua Marinha D;6,5; R$ 364,00 ; R$ 728,00 ; R$ 120,00 ; R$ 564,00 ;; R$ 1.088,00 ; R$ 1.088,00 ;;;;;;;;;;;;;;;;;;;;;;;
50;Pingente;Prata Artesanal;2; R$ 16,00 ; R$ 48,00 ;Green Gold;40; R$ 112,00 ; R$ 560,00 ; R$ 20,00 ; R$ 148,00 ;50,00%; R$ 628,00 ; R$ 314,00 ;;;;;;;;;;;;;;;;;;;;;;;
51;Colar;Prata Artesanal;22; R$ 176,00 ; R$ 528,00 ;Prata Artesanal;0; R$ -   ; R$ -   ; R$ 20,00 ; R$ 196,00 ;; R$ 548,00 ; R$ 548,00 ;;;;;;;;;;;;;;;;;;;;;;;
