;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
4104;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4105;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4106;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4107;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4108;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4109;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4110;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4111;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4112;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4113;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4114;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4115;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4116;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4117;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4118;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4119;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4120;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4121;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4122;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4123;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4124;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4125;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4126;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4127;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4128;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4129;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4130;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4131;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4132;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4133;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4134;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4135;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4136;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4137;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4138;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4139;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4140;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4141;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4142;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4143;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4144;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4145;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4146;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4147;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4148;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4149;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4150;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4151;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4152;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4153;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4154;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4155;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4156;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4157;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4158;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4159;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4160;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4161;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4162;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4163;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4164;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4165;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4166;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4167;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4168;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4169;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4170;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4171;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4172;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4173;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4174;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4175;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4176;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4177;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4178;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4179;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4180;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4181;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4182;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4183;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4184;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4185;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4186;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4187;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4188;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4189;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4190;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4191;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4192;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4193;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4194;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4195;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4196;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4197;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4198;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4199;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4200;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4201;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4202;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4203;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4204;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4205;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4206;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4207;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4208;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4209;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4210;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4211;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4212;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4213;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4214;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4215;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4216;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4217;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4218;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4219;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4220;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4221;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4222;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4223;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4224;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4225;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4226;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4227;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4228;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4229;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4230;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4231;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4232;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4233;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4234;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4235;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4236;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4237;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4238;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4239;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4240;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4241;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4242;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4243;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4244;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4245;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4246;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4247;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4248;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4249;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4250;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4251;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4252;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4253;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4254;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4255;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4256;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4257;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4258;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4259;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4260;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4261;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4262;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4263;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4264;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4265;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4266;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4267;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4268;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4269;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4270;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4271;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4272;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4273;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4274;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4275;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4276;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4277;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4278;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4279;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4280;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4281;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4282;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4283;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4284;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4285;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4286;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4287;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4288;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4289;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4290;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4291;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4292;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4293;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4294;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4295;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4296;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4297;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4298;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4299;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4300;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4301;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4302;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4303;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
4304;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
